	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
자부하다	어딜 가도 이런 가게는 없을 것이라며 자부했다.	자부했다	내 친구는 자신의 축구 실력을 자부하고 있었다. 	자부하는	그녀의 실력은 가히 최고라고 자부할 만 했다. 	자부할	자부할 만큼의 일은 아니라며 겸손하게 굴었다. 	자부할	자신의 능력에 대해 크게 자부하는 건 때론 독이 되기도 한다.	자부하는	그는 자신의 성과에 자부하며 지난 날의 성공일화를 늘어놓기 시작했다.  	자부하며
친애하다	그를 향한 친애의 정은 깊어만 갔다. 	친애	친애하는 당신께 편지를 씁니다.	친애하는	오랜만에 고향에 내려가 친애하던 친구를 만났다.	친애하던	친애하는 친구에게 말을 건넬 때에는 더욱 신중해진다.	친애하는	자신의 원동력이자 자신을 언제나 지지할 거라는 확신이 있는 존재에 대한 친애는 끈끈했다.	친애	그녀의 세계 속에 유일하게 생기있는 존재라며 나를 친애했다.	친애했다
흠모하다	남몰래 흠모했다.	흠모했다	이 작품에는 정인을 흠모하는 심정이 잘 나타나 있다. 	흠모하는	훌륭한 인격을 흠모하여 갖가지 특산품을 보내었다.	흠모하여	흠모하던 선생님이 교육을 그만두신다고 했을 때의 충격은 여파가 거셌다.	흠모하던	흠모하는 마음은 누구에게 허락이라도 받듯 이 정도면 괜찮겠지 하고 흘러나오는 것이다.	흠모하는	마음속으로 흠모하여 괜히 말이라도 걸기 위해 장난을 쳐 댔다.	흠모하여
감동하다	바쁜 와중에도 챙겨준 정성에 감동했다.	감동했다	선물을 받고도 감동하는 기색이 없었다. 	감동하는	사람들은 감동하여 너나 할 것 없이 자발적으로 성금을 내었다. 	감동하여	감동하는 나를 두고 기자들은 무표정으로 연신 셔터만을 눌러대는데 우리가 같은 공간에 있긴 하는지 의문이 들 정도였다. 	감동하는	나를 생각해주는 마음씨에 감동하여 괜히 눈물이 고였다.	감동하여	그의 행동은 나에게 강렬한 감동을 불러일으켰다. 	감동
교감하다	깊이 있는 대화를 나누며 서로 교감했다.	교감했다	식물과 교감하는 모습은 요정 같았다.	교감하는	교주는 자연물과 교감할 수 있는 능력이 있다고 주장했다. 	교감할	우리 사이의 골에 교감은 이미 끊어진 지 오래였다.	교감	그는 남을 업신여기며 자신이 교감할 만한 가치가 없는 사람들이라고 느꼈는지 질색하는 표정을 짓곤 했다. 	교감할	무생물과 교감하는 것은 때로는 즐겁고 괴로운 일이다.	교감하는
매료되다	흥미로운 말솜씨에 매료되었다.	매료되었다	따뜻한 마음씨에 매료되고 말았다. 	매료되고	이미 그녀에게 매료된 나에게는 들리지 않았다.	매료된	매료된 그에게는 어떠한 조언도 닿질 않았다.	매료된	세심한 자수에 매료된 사람들은 곧장 판매대로 달려갔다.	매료된	이단 종교에 깊이 매료되어 자신은 구원을 바랐을 뿐이라며 고래고래 소리쳤다.	매료되어
사모하다	그녀는 그녀의 스승을 사모한다.	사모한다	시간이 지나도 사모하는 마음은 커져만 갔다.	사모하는	내가 그토록 사모하던 사람은 이 세상에 없었다.	사모하는	그는 신분차이로 인해 사모하는 마음을 숨기려고 애쓰는 기색이었다. 	사모하는	내 여동생을 사모한 것도 기억나지 않는다는 듯 냉담한 모습이었다. 	사모한	떠나는 순간까지도 나를 깊이 사모했다며 오열해 마음이 쓰였다.	사모했다
상큼하다	여름 해를 받고 자란 과일은 무엇보다 상큼하다.	상큼하다	활기찬 아이의 모습은 삭막한 집안에 상큼한 느낌이 감돌게 했다. 	상큼한	제철 과일의 맛이 상큼하게 감돌았다. 	상큼하게	평소와 같은 하루였으나 눈을 찔러 대는 햇살조차 상큼하게 느껴졌다. 	상큼하게	상큼한 인삿말을 들으니 기분이 좋아졌다.	상큼한	상큼한 아침이 시작되면 설레는 기분이다.	상큼한
애정	열렬한 애정은 빨리 식기 마련이다.	애정	애정이 담겨 있는 손길이 따스했다.	애정	우리의 애정은 식을대로 식었다. 	애정	애정과 사랑의 결실이라는 결혼생활에서 나라는 이토록 불행한 결과가 나왔다면 시도조차 하지 말았어야 했다. 	애정	전시회에서 특별히 깊은 애정이 엿보이는 작품을 소개했다. 	애정	각자가 애정하는 분야가 다른 것 또한 흥미로운 일이었다.	애정하는
영예롭다	노력해서 받은 상패와 지위는 나에게 정말 영예로웠다.	영예로웠다	영예로운 자리에 오를 수 있던 것은 모두 여러분 덕분입니다.	영예로운	영예로운 시상식은 성황리에 마무리되었다.	영예로운	그녀의 영예로운 행보는 사람들에게 관심을 받았다.	영예로운	꾸준히 지역봉사를 하여 영예롭게도 표창장을 받았다.	영예로운	그 영예로운 순간에 내가 자리하고 있다는 것이 무척이나 기뻤다.	영예로운
이뻐하다	할아버님께서는 생전에 나를 몹시 이뻐했다.	이뻐했다	내가 이뻐하던 아이가 언제 이렇게 컸을까	이뻐하던	내가 작은 소품을 이뻐하는 것을 잘 알고 종종 선물해 주었다.	이뻐하는	식물을 이뻐하는 나를 잘 알아서 덩달아 정성스럽게 대하는 모습이 감동적이었다. 	이뻐하는	이뻐하고 아끼는 아이가 나에게 주는 활력은 그 무엇보다도 소중하다.	이뻐하고	자연스러운 모습을 이쁘게 담아내는 사진작가로 명성을 떨쳤다.	이쁘게
자긍	자신의 능력에 대해 자긍을 가졌다.	자긍을 가졌다	자신의 가문과 역사에 남다른 자긍을 느꼈다.	자긍을 느꼈다	왕홀을 높이 든 황제는 자긍과 기쁨을 감추지 못했다. 	자긍	허울뿐인 자긍심에 갇혀 사니 발전이라고는 있을 리가 없었다.	자긍심	교단의 일원이라는 자긍심은 종교에 대한 믿음을 더욱 강화시켰다.	자긍심	자긍심을 느끼기도 하며 자신을 존중해야 할 필요가 있다.	자긍심
희	이 작품에는 인간의 희노애락이 모두 담겨져 있다.	희노애락	고대하던 기쁜 소식에 희희낙락하였다. 	희희낙락	한편으로는 기쁘고, 한편으로는 슬픔 일의일비의 마음이었다.	일희일비	희희낙낙하며 여유를 즐기는 모습을 동경하지 않는 현대인은 없을 것이다.	희희낙낙	인간의 희노애락을 모두 표현했다며 극찬을 받았다.	희노애락	그녀는 일희일비하는 자신의 모습을 때론 약점으로 여겼다. 	일희일비
경멸하다	애국심이라고는 없이 나라를 팔아넘긴 정치가들을 경멸하였다. 	경멸하였다	그의 등장에 경멸하는 눈초리가 한 곳으로 향했다. 	경멸하는	갑작스러운 방문객을 경멸에 찬 눈초리로 대했다. 	경멸	경멸스러운 상황 속에서 서로의 탓을 하며 감정의 골은 깊어만 갔다.	경멸스러운	경멸스럽게도 혈연이라는 것은 핸드폰 번호를 바꾼다고 해서 끊기는 것이 아니었다.	경멸스럽게도	책임감 없는 지도자의 모습에 경멸하며 떠난 직원이 한 두명이 아니었다.	경멸하며
모멸	내심 일말의 노력조차 하지 않는 이들을 모멸하였다.	모멸하였다	망국의 기사들을 모멸하는 눈초리로 바라보았다.	모멸하는	그녀는 모멸에 찬 말을 듣고 이성의 끈을 놓았다. 	모멸	생전 겪어보지 못한 모멸감이 나를 덮쳤다.	모멸감	온갖 책임은 나에게 떠넘기며 모멸감을 주었다.	모멸감	집단의 일원인 것이 부끄러워 질 정도의 모멸감이었다.	모멸감
배신감	그녀는 배신감을 느끼며 소리를 질렀다. 	배신감	적들에게 장군의 약점을 일러 준 기사에게 큰 배신감을 느꼈다.	배신감	사전에 합의하지 않았던 상황에 깊은 배신감을 느꼈다.	배신감	처음부터 배려해 준 건 나였는데 상대방은 그것조차 모르고 제멋대로 구니 큰 배신감이 들었다.	배신감	배신감은 나 혼자 갈무리해야 하는 감정이 아니다. 	배신감	누군가 관계에서 배신감을 느꼈다면 양 쪽의 이야기를 모두 들어보아야 한다.	배신감
울화통	옆에서 평화롭게 잠을 청하는 모습에 울화통이 터졌다.	울화통	아무것도 모르겠다는 듯이 구는 태도를 보면 울화통이 안 터질 도리가 없었다.	울화통	울화통이 터져 견딜 수 없었다.	울화통	울화통이 터지는 상황에 처하니 되려 마음이 차분해졌다.	울화통	울화통이 터지는 상황에서 인내심이라고는 존재할 리 없었다.	울화통	답답하기도 하고 막막한 상황 속에서 상사는 울화통에 빠졌다. 	울화통
원한	그녀는 몹시 공명정대하여 원한을 살 만한 사람이 아니었다. 	원한	대대로 내려온 깊은 원한은 커져만 갔다. 	원한	무슨 원한이 있어 그러는지는 몰라도	원한	무슨 원한이 있는지 끈질기게 나를 쫓아왔다.	원한	지적해도 바뀌지 않는 상황에 지쳐 그토록 원한을 갖던 상대가 앞에서 떠들어대도 아무런 감흥이 없었다.	원한	원한의 대상이 앞에 있다면 찢어발겨 죽였을 기색이었다.	원한
치떨리다	그떄를 생각하면 지금도 치가 떨린다.	치가 떨린다	계획대로 이행하기는커녕 죄다 망쳐버리고 있으니 치가 떨릴 노릇이었다. 	치가 떨릴	가슴이 서늘하고 치가 떨려서 가만히 있을 수 없었다.	치가 떨려서	고민할 충분한 시간조차 주지 않고 그저 좋은 게 좋은 거라며 자신을 배제하고 진행되었으니 이 또한 치가 떨리는 일이었다. 	치가 떨리는	가만히 생각해보니 치가 떨려 더 이상 남아있을 이유가 없다고 판단했다.	치가 떨려	조언을 죄다 무시해놓고선 문제가 불거지자 책임지라며 찾아오는 꼴은 치가 떨렸다.	치가 떨렸다
치욕스럽다	이제는 이전에 뜻을 같이 했다는 사실조차 치욕스럽습니다. 	치욕스럽습니다	떠올리기조차 치욕스러운 일이었다.	치욕스러운	선심 쓰듯 썩은 빵을 던지던 모습이 치욕스럽게 떠올랐다.	치욕스럽게	그 치욕스러운 순간을 어떻게 넘길지를 상상하면 절로 웃음이 나왔다.	치욕스러운	패전국의 군주는 백성을 위해서라도 치욕스럽게 동의하는 수 밖에 없었다. 	치욕스럽게	그를 치욕스럽게 여기게 된 시점은 언제였는지 기억조차 나지 않을 정도로 오래되었다.	치욕스럽게
증오하다	부모의 원수를 깊이 증오했다.	증오했다	남의 시선을 의식하였는지 친근하게 말을 거는 모습조차 증오스러웠다. 	증오스러웠다	증오에 찬 눈이 희번덕했다. 	증오	그의 행적을 조사할 수록 그에 대한 증오는 커져만 갔다. 	증오	증오하는 집으로 왜 다시 돌아오게 되는지는 인생의 난제였다.	증오하는	자신을 증오하게 되면 남 탓으로 모든 걸 회피할 수 있으니 간편하죠.	증오하게
혐오하다	판사는 특히 약자만을 대상으로 범죄를 저지르는 범죄자들을 혐오했다.	혐오했다	처음의 혐오하던 모습은 온데간데 없고, 작별 인사를 나누는 모습이 희뭇했다.	혐오하던	부정부패에 대한 혐오감을 가지고 있었다.	혐오감	영특한 인재들은 하나같이 책임감 없는 지도자를 혐오했다. 	혐오했다	자신이 혐오하던 자의 모습을 닮아가고 있다는 것을 깨달았다.	혐오하던	종국에는 자신을 혐오하게 되었다고 털어놓았다.	혐오하게
환멸	사람들에게 환멸을 느껴 다시는 돌아오지 않겠다 다짐했다. 	환멸을 느껴	근거 없는 소문을 이리저리 퍼나르는 군중을 환멸을 느꼈다	환멸	문제의 인식조차 하지 못하는 상사에게 환멸을 느끼고 회사를 그만두었다. 	환멸	무례한 행동이 자신감인 줄 아는 사람들에게 큰 환멸을 느꼈다.	환멸	그는 온갖 모욕적인 말을 쏟아내며 우리 가족이 자신을 환멸하는 모습을 즐기는 사람이었다.	환멸하는	환멸감과 함께 구역질이 올라올 지경이었다.	환멸감
부럽다	거침없는 결단력이 부럽다.	부럽다	더 이상 부러울 것이 없었다.	부러울	흰 설탕이 잔뜩 올라간 빵을 먹는 소진이를 부럽게 쳐다보았다.	부럽게	그녀는 타인에 대한 부러움은 목표의식을 갖게 해 주는 좋은 계기라고 여겼다. 	부러움	어렸을 때 부러워하던 것들이 가슴에 남아 하나씩 모으기 시작했다. 	부러워하던	부러움을 느끼라는 듯 자신에 대한 자랑만을 연신 늘어놓았다.	부러움
애착	그 선생님은 학생들에 대한 애착이 강했다. 	애착	애착을 가졌던 물건을 버리는 것은 쉽지 않다. 	애착	이유없이 애착이 가는 물건이 있다.	애착	집에 대한 애착이 도무지 생기질 않으니 자꾸 밖으로 나돌았다.	애착	가족에 대한 애착은 그녀의 독립심을 저해시키는 요소였다.	애착	그가 삶에 있어 애착을 가지는 대상은 극소수였다. 	애착
짝사랑하다	버스에서 매번 마주치는 그 아이를 짝사랑했다.	짝사랑했다	짝사랑하는 사람이 눈 앞에 있으니 고개를 드는 것이 몹시 쑥스러웠다.	짝사랑하는	나의 첫사랑은 짝사랑으로 끝났다. 	짝사랑	짝사랑을 오래 품으면 이루어지기라도 할 줄 알았다.	짝사랑	지고지순한 짝사랑은 마침내 결실을 맺었다.	짝사랑	짝사랑만 하던 시절에서 끝내는 게 현명했을 지도 모른다고 울먹였다.	짝사랑
